PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891207	1473275372512	1473275372663	SHIFT	16
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891214	1473275372583	1473275372703	W	87
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891219	1473275372759	1473275372903	a	65
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891226	1473275372831	1473275372975	s	83
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891231	1473275372943	1473275373079	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891236	1473275373127	1473275373255	w	87
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891246	1473275373231	1473275373431	o	79
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891249	1473275373367	1473275373503	n	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891253	1473275373495	1473275373559	d	68
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891259	1473275373639	1473275373799	e	69
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891264	1473275373727	1473275373847	r	82
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891285	1473275373807	1473275373967	i	73
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891289	1473275373887	1473275374007	n	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891293	1473275373975	1473275374119	g	71
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891300	1473275374112	1473275374223	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891305	1473275374207	1473275374359	i	73
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891324	1473275374311	1473275374432	f	70
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891329	1473275374391	1473275374543	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891337	1473275374488	1473275374568	y	89
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891347	1473275374624	1473275374783	o	79
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891360	1473275374688	1473275374839	u	85
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891404	1473275374792	1473275374887	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891409	1473275374864	1473275374975	a	65
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891414	1473275374983	1473275375119	n	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891419	1473275375103	1473275375223	d	68
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891423	1473275375183	1473275375287	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891428	1473275375311	1473275375407	SHIFT	16
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891448	1473275375367	1473275375503	N	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891450	1473275375527	1473275375623	a	65
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891454	1473275375599	1473275375800	t	84
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891459	1473275375720	1473275375855	a	65
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891465	1473275375839	1473275376015	l	76
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891484	1473275375919	1473275376087	i	73
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891489	1473275376047	1473275376183	e	69
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891494	1473275376167	1473275376272	 	32
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891501	1473275376263	1473275376399	c	67
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891506	1473275376343	1473275376495	o	79
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891543	1473275376439	1473275376503	n	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891547	1473275376583	1473275376671	n	78
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891552	1473275376679	1473275376831	e	69
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891558	1473275376743	1473275376855	c	67
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891567	1473275376967	1473275377071	t	84
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892084	1473275377151	1473275377503	SHIFT	16
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51891575	1473275377319	1473275377415	?	191
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892091	1473275377663	1473275377743	BKSP	8
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892100	1473275377775	1473275377871	e	69
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892107	1473275377951	1473275378031	d	68
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892120	1473275378119	1473275378311	SHIFT	16
100001	1090979	Was wondering if you and Natalie connected?	Was wondering if you and Natalie connected?	51892114	1473275378183	1473275378287	?	191
100001	1091001	Please give me a call.	Please give me a call.	51892439	1473275385879	1473275386015	SHIFT	16
100001	1091001	Please give me a call.	Please give me a call.	51892445	1473275385911	1473275386071	P	80
100001	1091001	Please give me a call.	Please give me a call.	51892452	1473275386023	1473275386183	l	76
100001	1091001	Please give me a call.	Please give me a call.	51892459	1473275386103	1473275386255	e	69
100001	1091001	Please give me a call.	Please give me a call.	51892465	1473275386247	1473275386359	a	65
100001	1091001	Please give me a call.	Please give me a call.	51892495	1473275386343	1473275386511	s	83
100001	1091001	Please give me a call.	Please give me a call.	51892500	1473275386463	1473275386599	e	69
100001	1091001	Please give me a call.	Please give me a call.	51892503	1473275386591	1473275386695	 	32
100001	1091001	Please give me a call.	Please give me a call.	51892508	1473275386687	1473275386815	g	71
100001	1091001	Please give me a call.	Please give me a call.	51892510	1473275386807	1473275386951	i	73
